id,user,likes,dislikes,followers
1,lmalletratt0,2797,388,11139
2,skilmurray1,2004,2540,10159
3,vhowgego2,2312,1056,18803
5,htacker4,2041,405,19248
7,epetr6,2239,1080,12111
8,pcucinotta7,2462,582,19072
9,mlumly8,2817,804,16585
11,bdurstona,2080,3010,19146
12,acalcottb,2379,1241,12341
13,hfenlonc,2713,666,19563
18,rrosewarneh,2389,632,12277
20,dgannanj,2494,1012,19993
21,emulqueenk,2811,2002,11728
24,asummersiden,2369,319,15072
25,hdaykino,2501,1561,12380
26,pmingop,2450,3208,12120
27,jlysterq,2915,1499,10958
28,rkinghornr,2339,1630,14142
34,nlearnedx,2905,2958,16221
37,loates10,2645,501,11277
40,rworsley13,2269,3201,13331
41,hdominetti14,2321,361,16403
46,aferneyhough19,2833,2188,19181
48,ahodgins1b,2396,2518,17848
50,lbarribal1d,2156,777,15830
52,scawse1f,2483,1818,17303
55,ctabour1i,2858,412,14728
57,mchastaing1k,2995,2780,13813
59,nkubicek1m,2446,2359,15101
60,cburder1n,2933,371,12427
62,akemson1p,2036,3082,14653
63,cgossling1q,2045,1148,19819
68,svasin1v,2142,2937,17651
73,cdmitrievski20,2649,2939,13667
77,mlovatt24,2234,3209,18597
80,mvossgen27,2720,2682,13114
84,skingston2b,2120,2396,14624
85,fstollhofer2c,2409,2129,16143
87,dkeilty2e,2540,3089,17784
88,lholbarrow2f,2424,376,16171
89,cgrimsdell2g,2726,2392,19725
91,wcluff2i,2958,794,11775
93,dgoracci2k,2981,3151,11771
94,eearey2l,2029,2981,15620
96,lkabsch2n,2891,428,17963
98,cdarkott2p,2030,2384,10622
100,bgreser2r,2006,3485,10693
